DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.013142	-0.009554	-0.010775	-0.008774	-0.013894	-0.012068	-0.008654
-0.012815	-0.010965	-0.010218	-0.011564	-0.012445	-0.015033	-0.016086
-0.012937	-0.008356	-0.007451	-0.011405	-0.008699	-0.013057	-0.00914
-0.012968	-0.010068	-0.007307	-0.012551	-0.006628	-0.008446	-0.005092
-0.012957	-0.014903	-0.008012	-0.009405	-0.011329	-0.009462	-0.013711
-0.012993	-0.011147	-0.008725	-0.011001	-0.011354	-0.011092	-0.013783
-0.013058	-0.007622	-0.01236	-0.015791	-0.013746	-0.008167	-0.012533
-0.013207	-0.012231	-0.008362	-0.012416	-0.01429	-0.00694	-0.010467
-0.013541	-0.015448	-0.007014	-0.013958	-0.009018	-0.011281	-0.006047
-0.013506	-0.013979	-0.010667	-0.013007	-0.017106	-0.014131	-0.006851
-0.013281	-0.009261	-0.012536	-0.012324	-0.00847	-0.008891	-0.01149
-0.013391	-0.009953	-0.015879	-0.010182	-0.007775	-0.015533	-0.011654
-0.013202	-0.010342	-0.009401	-0.008102	-0.010208	-0.010661	-0.011011
-0.012904	-0.013473	-0.009758	-0.011266	-0.008909	-0.01248	-0.010694
-0.013135	-0.008201	-0.01336	-0.012781	-0.007534	-0.007892	-0.008452
-0.013408	-0.016224	-0.013951	-0.009882	-0.008114	-0.010123	-0.011131
-0.013271	-0.010319	-0.00776	-0.014645	-0.012787	-0.016545	-0.012133
-0.013233	-0.00991	-0.008406	-0.011084	-0.009549	-0.011846	-0.016259
-0.013345	-0.015201	-0.015925	-0.005979	-0.011759	-0.006774	-0.011592
-0.013408	-0.011886	-0.010382	-0.009613	-0.014967	-0.016332	-0.011135
-0.012984	-0.010513	-0.01126	-0.007758	-0.01312	-0.010408	-0.011629
-0.013066	-0.008592	-0.008369	-0.012132	-0.013121	-0.01281	-0.013479
-0.013224	-0.010949	-0.011259	-0.006251	-0.002906	-0.011342	-0.009187
-0.013418	-0.011535	-0.011755	-0.014535	-0.018029	-0.0107	-0.010162
-0.013348	-0.012459	-0.005262	-0.005925	-0.010983	-0.017953	-0.013247
-0.013284	-0.010319	-0.011591	-0.01234	-0.011368	-0.013679	-0.012023
-0.013735	-0.01173	-0.010703	-0.011213	-0.011618	-0.018463	-0.009775
-0.013517	-0.006813	-0.012741	-0.011854	-0.011397	-0.008435	-0.010244
-0.013254	-0.009565	-0.006037	-0.011109	-0.010824	-0.008085	-0.009547
-0.013522	-0.005502	-0.009475	-0.009705	-0.007611	-0.016049	-0.01262
-0.013621	-0.015765	-0.012821	-0.008699	-0.016131	-0.008846	-0.009974
